username,review,rating,date,app,label
Pengguna Google,"aplikasi nya nda bisa di buka, di suruh update,sdah di update minta login, dikasih masuk no tlpon, nd bisa, ada apa dengan aplikasinya",1,2026-04-12 09:41:58,Maxim,negatif
Pengguna Google,"kasian kali Para driver Gocar gojek, info nya Mereka dapat Dikit Untung ongkos dari uang penumpang bayar di aplikasi gojek. contoh aja, SAYA BAYAR PAKAI GOPAY pesan gocar dikenahkan 54.000 , dan si driver hanya dapat 30.000 kasian kali kan banyak kali potongan ongkos dilakukan PIHAK APLIKASI GOJEK merugikan driver. tolong lah bantu UP dan evaluasi potongan nya agar Nyama para driver, kasian melihat mereka bensin mobil + AC mobil lagi diberikan driver kepada kami penumpang agar nyaman.",1,2026-04-03 18:51:52,Gojek,negatif
Pengguna Google,susah dapet driver plss pdhl lg ungent bgt,1,2026-03-29 10:52:11,Gojek,negatif
Pengguna Google,cs layanan nya jelek ga member solusi,1,2026-03-30 19:02:12,Gojek,negatif
Pengguna Google,"Udah ke sekian kalinya saya memesan makanan udah nunggu beberapa menit tapi driver gak di temukan ini gimana !, pada kemana coba padahal perkota kan banyak",1,2026-03-31 10:23:14,Gojek,negatif
Pengguna Google,kagak ada tuyul driver nya xim,1,2026-04-17 06:24:48,Maxim,negatif
Pengguna Google,"saat di butuhkan waktu pas pasan malah tidak bisa order tunai, mesti dengan kard",1,2026-04-22 21:12:55,Grab,negatif
Pengguna Google,"tolol Driver nya pada kebanyakan milih"" gua pesen makanan sejam lebih pas udh wktu nya gada yg mau ambil,tolol bat",1,2026-04-02 14:33:18,Grab,negatif
Pengguna Google,"Makin hari driver makin slengean, mau ngirim gosend mobil mereka pada nerima orderan, tapi posisi ga pernah gerak, di chat ceklis 2 ga dijawab, payahhh pada sok semua",1,2026-04-11 03:04:37,Gojek,negatif
Pengguna Google,"aplikasi lelet,cs gak guna",1,2026-03-29 15:38:30,Gojek,negatif
Pengguna Google,"iklan sama realitanya kenapa berbeda ya? katanya gojek plus bikin makin murah dan hemat, tapi nyatanya tetap sama aja tuh gak ada perubahan signifikan untuk harganya, mana banyak banget lagi ketentuan yang harus dipenuhi sebelum pake promonya 🤦🏻‍♀️ kapok deh langganan gojek plus nya",2,2026-04-13 14:46:49,Gojek,negatif
Luthfiana Choirunnisa,"susah cari driver pas mendung ( ga ujan) padahal dikota besar,",1,2026-03-26 00:58:48,Gojek,negatif
Pengguna Google,tolong kasih pelanggaran buat driver yg gk mau konfir mau jemput atau nggk nya. saya sudah nunggu lama bukannya lokasi dia makin deket adanya malah makin jauh,1,2026-04-03 16:01:56,Grab,negatif
Pengguna Google,ini banyak oknum driver didalam nya yg suka minta ongkos lebih dari ketentuan aplikasi terlebih banyak oknum driver suka malakin 20 ribu uang ongkos tambahan,1,2026-04-12 13:21:03,Maxim,negatif
Pengguna Google,kesel bener setiap beli makanan lebih 2/3/4 porsi yg dateng pasti 1 doang mana bayar nya tetep lagi,1,2026-03-16 11:49:49,Grab,negatif
Pengguna Google,"akun bagus malah susah mendapatkan order, aneh",1,2026-04-19 19:02:30,Gojek,negatif
Pengguna Google,selalu masalah selalu ketika hujan sulit dapat driver,1,2026-04-20 20:31:24,Grab,negatif
Pengguna Google,"dituduh penyalahgunaan promo, kita ini tinggal beli dan pakai promo aja, tapi kalian semena mena bekuin akun orang. yang bikin tombol kan kalian, sesuai prosedur kalian, tapi kita yang disalahkan. ga bakal saya pakai aplikasi ini, padahal saya sering beli pakai gofood dan langganan gojek plus, tapi kalian gak tau terimakasih sama customer. pelayanan buruk, cs buruk.",1,2026-04-05 03:31:52,Gojek,negatif
Pengguna Google,l ga guna kalo lagi butuh pada ilang grab nya,1,2026-03-29 12:51:56,Grab,negatif
Azzahra Irma,"Kenapa driver pada ga mau ambil orderan sihh, udah 3x kyak gini, ga pada mau ambil orderan, padahal kan banyak drivernya, tpi ga ada mau ambil orderannya",1,2026-03-25 13:11:46,Gojek,negatif
Pengguna Google,"ga lagi lagi pake grab!!!! kapokkkkkk. order grabfood salah pilih menu, gabisa di cancel. chat driver malah balesannya jelek bgt!!! bikin kapok! pdhl saya sopan bgt chat drivernya",1,2026-03-18 05:52:30,Grab,negatif
Pengguna Google,platform besar tapi bikin malu.. pengemudi banyak yang aktif tapi gak mau ngambil penumpang diatas jam 12 malam,1,2026-03-28 18:07:50,Grab,negatif
Pengguna Google,"driver lelet, seenaknya sendiri, lalu sistem bintang di costumer suka di main mainin driver biar drivernya itu itu terus karena tip",1,2026-03-29 23:20:58,Gojek,negatif
Pengguna Google,Tagihan masih ada padahal sudah dilunasin. diminta bayar denda lagi,1,2026-04-02 12:46:58,Gojek,negatif
Pengguna Google,"makin lama makin banyak yg mogok kerja drivernya, parah.. ga ada yg mau narik ambil orderan pdhl genting bgt gada transportasi.. tolong pihak aplikasi kasih upah yg layak buat para mitranya biar pada semangat kerjanya. banyak org yg butuh!",1,2026-03-30 11:23:37,Grab,negatif
Pengguna Google,"lama, nyari driver juga susah",2,2026-03-30 08:45:49,Gojek,negatif
Pengguna Google,"driver tidak bagus, ada yang tdk konfirmasi trus meninggalkan begitu saja, ada juga yang pindah ke chat buat transaksi di luar aplikasi, sangat tdk mengenakkan, lebih baik blacklist orang orang nya",2,2026-04-11 06:37:21,Gojek,negatif
Pengguna Google,"semalam pesan gojek comfort, harusnya gede kan motornya / luas., dilalah gw bawa bocah. buset dahh yg sampe trnyt motor macam Scoopy tapi inii motor batre swap. tolong diperbaiki , kalo sekiranya motor kecil, jgn ambil pesenan gojek comfort. keselamatan di pertaruhkan karena jok sempit bgt",1,2026-04-22 23:32:30,Gojek,negatif
Pengguna Google,kecewa ada gocar yg nipu saya PD tanggal 29bmaret 2026 pukul 19.00 wib udh saya byr pake gopay sebesar 242.000 alasannya GK punya gopay .udh ada bukti TF minta uang tunai sebesar 242.000 juga.tolong balikin gopay saya atas nama mahani driver bernama mardius A-95ET8NEGWSPVAV,1,2026-03-30 14:26:09,Grab,negatif
Pengguna Google,SISTEMNYA LOLOT BGT MESEN MAKANAN SEJAM LEBIH GA DPT DPT DRIVER,1,2026-04-05 07:35:32,Gojek,negatif
Pengguna Google,apk parah pesan makanan jam 7 dantang jam 11 di batalin gak bisa kemalemban ya udah tidur,1,2026-03-17 00:22:34,Grab,negatif
Pengguna Google,makin sini dapet driver makin susah,1,2026-04-10 15:42:51,Gojek,negatif
Pengguna Google,"udah di apdet pula, apdet mulu anying, nunggu 1 jam gila', februari 31 maret 2026, gak tawu gak mood gua lapar dan gua udah pesen makanan dari resto lain, disuruh nunggu driver sebelum makanannya di kemas, padahal mah resto lain s.o.p nya kagak gitu, inisial geprek bassmallah, + juga kagak bisa di pencet untuk chat resto gila' kontlolodon apatis kelen, yaelah kesalahan sistem anying harus out dulu dari gojek, karena warungnya lupa matiin kontlolodon",1,2026-03-31 16:01:51,Gojek,negatif
Pengguna Google,"pesanan gagal terus dari jam 11 sampai jam 1,coba beberapa kali sama aja, padahal g ada angin g ada hujan, akhirnya jadi beli mie instan..orang lapar di kasi cobaan,app T+@!",1,2026-03-25 07:02:26,Grab,negatif
Pengguna Google,"ga banget akun tiba² di tangguhkan minta bantuan di suruh tunggu 5 hari, udah lewat berminggu-minggu masih aja akun saya tetep di tangguhkan udah minta bantuan beberapa kali no respon",1,2026-04-06 15:09:02,Grab,negatif
Pengguna Google,woy kalo hari raya perusahaan kasih insentif ke driver pake dana perusahaan lah. jangan naikin tarif ke penumpang. biasa naik grabcar ke rumah 38rb pas lebaran siang bolong pesen grabcar ke rumah tarifnya 146rb. ngotak dikit nyet,1,2026-03-21 08:28:36,Grab,negatif
Pengguna Google,driver nya pada belagu parah order slalu di batalin ga jelas lama2,1,2026-04-02 10:39:32,Gojek,negatif
Pengguna Google,bayar nya gk sedia bayar QRIS atau bayar di customer atau di bayar duluan riber pembayaran mu,2,2026-04-15 09:17:19,Grab,negatif
Pengguna Google,gajelas nih aplikasi tiba tiba gangguan pas lagi dipake buru buru,1,2026-04-18 07:06:54,Gojek,negatif
Pengguna Google,"awal pakai bagus . murah, tp sejak saya deposit pakai maxim kaspro. terjadi kendala, saldo dipotong saat melakukan perjalanan, tp driver mengatakan bahwa saldo tidak diterima. sehingga driver minta uang tunai. saya komplain ke parameter dukungan maxim, katanya sudah menghubungi saya. tp saya tidak pernah menerima telpon dr pihak maxim. dicoba komplain sampai 3x. jawaban selalu sama. sampai saat ini saya tidak pernah menerima telpon dr maxim sama sekali",1,2026-04-21 04:52:31,Maxim,negatif
Pengguna Google,"tidak bisa cancel, harus menunggu 1,5 jam tanpa info tanpa kepastian tiba-tiba di batalkan sepihak, waktu terbuang percuma",1,2026-03-21 13:26:01,Grab,negatif
Pengguna Google,"awal pakai bagus . murah, tp sejak saya deposit pakai maxim kaspro. terjadi kendala, saldo dipotong saat melakukan perjalanan, tp driver mengatakan bahwa saldo tidak diterima. sehingga driver minta uang tunai. saya komplain ke parameter dukungan maxim, katanya sudah menghubungi saya. tp saya tidak pernah menerima telpon dr pihak maxim. dicoba komplain sampai 3x. jawaban selalu sama. sampai saat ini saya tidak pernah menerima telpon dr maxim sama sekali",1,2026-04-21 04:52:31,Maxim,negatif
Pengguna Google,lama nunggu driver,1,2026-04-09 01:49:34,Gojek,negatif
Pengguna Google,"kalau outlet udh tutup jgn di Adain lagi di apk, kasian drivernya, di outlet di terima orderan tapi outlet nya udh tutup dari grab ga bisa di cancel ampunnnn",2,2026-04-12 02:31:58,Grab,negatif
Pengguna Google,kyk disengaja order didiemin sama driver pdhl di map ada bbrp mobil disekitaran lokasi. tapi begitu beralih ke prioritas yg harganya 55rb pdhl jaraknya dekat langsung deh dapet driver. parahhh,2,2026-03-29 13:07:21,Gojek,negatif
Pengguna Google,"Pesanan selalu di batalkan, sampai 3 kali pesanan. membuang2 waktu. dan sangat mengecewakan",1,2026-03-17 11:39:14,Grab,negatif
Muhamad Arif Rahmatulloh,"susah dapat driver , terutama gofood",1,2026-03-25 12:34:26,Gojek,negatif
Pengguna Google,Lumayan,2,2026-04-10 09:38:06,Maxim,negatif
Pengguna Google,"Makin jelek pelayanannya, kalau grab makanan siapin makanan dulu nunggu 1 jam ujung2 nya gak dapat driver waktu terbuang nungguin mending pesan lain saja",1,2026-04-06 14:40:11,Gojek,negatif
Pengguna Google,"kecewa dg aplikasi grab jastip harusnya ada sosialisasi lebih sih shg driver2 udh paham kalo aplikasi grab jastib itu beda dg grab delivery krn kebanyakan driver taunya grab jastip itu sma dg grab delivery tinggal ambil barang pdhal beda. karna udh 2x ini zonk pakai grab jastip, kalo bkn krn urgen beli susu ndk bakal pakai grab jastip lg, kalo harganya puluhan ribu mngkn msh bisa dimaklumi tp ini ratusan ribu padahal udh dilebihin utk feenya malah gak dikembalikan kembaliannya .",2,2026-04-05 15:26:06,Grab,negatif
Pengguna Google,"Lemot, driver tidak ramah dan kadang di cancel dadakan oleh driver. Tolong diperbaiki, tolong perbaiki jaringan yg lemot",2,2026-03-17 10:37:17,Grab,negatif
Pengguna Google,hari ini saya kecewa sama grab karena saya melakukan 2 kali pembayara dan uangnya tidak kembali,1,2026-04-01 14:31:47,Grab,negatif
Pengguna Google,"wey susah dapet driver, prioritaspun gak dapet dapet. gimana ini gojek kenapa, driver pada ga mau ambil orderan",2,2026-03-29 10:20:52,Gojek,negatif
Pengguna Google,sory kecewa pesen makan 2 jam gk kunjung di proses berakhir d batalkan dan rumit. ga biasanha grab kaya gini...auto uninstal y babay,1,2026-03-28 16:04:28,Grab,negatif
Pengguna Google,"pesan apa saja susah dapat driver, dan pada jauh2, bikin kapok customer",1,2026-04-07 23:43:59,Gojek,negatif
Pengguna Google,kecewa bener² kecewa,1,2026-03-29 18:28:22,Grab,negatif
Pengguna Google,dpt driverY susah...sekaliY dpt jauh posisi driverY...jdi buang waktu,1,2026-04-06 01:33:29,Grab,negatif
Pengguna Google,"untuk gofoodnya ga ngotak bgt biaya penanganannya , untuk gojek gocar ok.",2,2026-04-16 11:57:47,Gojek,negatif
