username,review,rating,date,app,label
Pengguna Google,alhamdulillah nyaman tiba2 udh kluar tol mksh,5,2026-04-13 10:59:38,Gojek,positif
Pengguna Google,sangat bagus,5,2026-04-13 10:58:10,Gojek,positif
Pengguna Google,ya enak,5,2026-04-13 10:47:12,Gojek,positif
Pengguna Google,"go food paling terparah pesan jam 17.30 saat hujan berhenti, eh notif app nya dapat driver jam 18.33 apaan nih, nyesel banget, gue app utk pesan makanan sekarang nggak akan pakai go food lagi, go food gue coret dari hp gue dah apes banget mana ini udah laper, padahal jarak toko nya 1 km doang, nggak ada bermutu lo sekarang go food👎👎👎",2,2026-04-13 10:40:18,Gojek,negatif
Pengguna Google,"gasuka saya sama gojek sekarang, masa beres hujan gada yang mau pickup saya udah lama bgt saya tunggu udu keberapa kalinya driver kaya gini, mohon tolong regulasinya diperbaikii lagi",1,2026-04-13 10:35:39,Gojek,negatif
Pengguna Google,toooopppppp markotoppp,5,2026-04-13 10:34:05,Gojek,positif
Pengguna Google,baik bgt,5,2026-04-13 10:27:58,Gojek,positif
Pengguna Google,"para driver ini ga perlu uang apa gimana sih? apalagi waktu hujan ngeselin bangat gaada yang nerima, kita juga hujan gini masih bayar loh ga minta dianterin gratis. Gimana sih sop nya, apa emang driver nya yang pemilih kalau ada orderan?",1,2026-04-13 10:17:19,Gojek,negatif
Pengguna Google,cepat pengantarannya,5,2026-04-13 10:16:45,Gojek,positif
Pengguna Google,ok,5,2026-04-13 10:00:46,Gojek,positif
Pengguna Google,"asalnya kukasih bintang 5 tapi blakangan susah banget order gojek, aplikasi muter padahal sinyal bagus, pengemudi terpantau ada di sekitar tapi ga ngambil orderan, skalinya dapet dicancel sama driver atau driver minta cancel atau aku terpaksa cancel karna driver ga bergerak atau kejauhan.. hadeuhhhh smoga bisa lebih baik lagi biar kurevisi lagi bintangnya.. bhay",1,2026-04-13 09:59:25,Gojek,negatif
Pengguna Google,mantap,5,2026-04-13 09:56:44,Gojek,positif
Pengguna Google,pusing liat driver gofood batalin terus.,3,2026-04-13 09:40:57,Gojek,netral
Pengguna Google,suka,5,2026-04-13 09:34:17,Gojek,positif
Pengguna Google,pake aplikasi gojek semua jd bisa serba cepet,5,2026-04-13 09:31:41,Gojek,positif
Pengguna Google,aplikasi taeee iki pesen es teh 21rb .,1,2026-04-13 09:31:05,Gojek,negatif
Pengguna Google,gercep.....,5,2026-04-13 09:28:08,Gojek,positif
Pengguna Google,"tanggapan lama,saya sering telat ke sekolah padahal sudah booking dari jam 6 kurang 15 masih belum ada sampe jam set 7 sering di batalin dari aplikasinya katanya driver sibuk padahal sudah pake prioritas tapi tetep gitu",3,2026-04-13 09:18:19,Gojek,netral
Pengguna Google,mantap dan keren gojek,5,2026-04-13 09:10:24,Gojek,positif
Pengguna Google,mantaaaaaaap,5,2026-04-13 09:04:10,Gojek,positif
Pengguna Google,👍👍👍👍👍,5,2026-04-13 09:00:13,Gojek,positif
Pengguna Google,lancar,5,2026-04-13 08:56:37,Gojek,positif
Pengguna Google,tida ada kendala apapun aman terkendali..,5,2026-04-13 08:50:31,Gojek,positif
Pengguna Google,"kenapa kalau mendung pasti error, lama bangeet pencarian nya. kagak dapet², pd hal blm hujan ..",3,2026-04-13 08:38:18,Gojek,netral
Pengguna Google,topp,5,2026-04-13 08:27:49,Gojek,positif
Pengguna Google,sangat membantu,5,2026-04-13 08:25:22,Gojek,positif
Pengguna Google,"buat suspend lah misal lama,masa harus saya melulu yang mencet batal blm lagi pihak gojeknya sengaja agar saya mencet batal agar lebih mahal lagi seharusnya sesuai apk lah harganya masa harus mencet batal batal lama lama jadi mahal",1,2026-04-13 08:24:12,Gojek,negatif
Pengguna Google,mantap lanjutkan,5,2026-04-13 08:18:43,Gojek,positif
Pengguna Google,"pelayanan,nya bagus",5,2026-04-13 08:11:19,Gojek,positif
Pengguna Google,sekarang ongkir gojek mahal,4,2026-04-13 08:05:42,Gojek,positif
Pengguna Google,Mempermudah mencari transportasi,5,2026-04-13 08:01:20,Gojek,positif
Pengguna Google,mantap biar hujan deras tetap mau jemput👍🏻,5,2026-04-13 07:58:27,Gojek,positif
Pengguna Google,"aku suka aplikasi ini, sangat bantu aku dalam pergi2 kemana2, driver nya juga pada baik2 sih, terus ada fitur lain juga (aku baru nyoba yang ngantar barang aja), terus kan ada kayak teks di update gojek nya itu aku sering baca2 karena lucu banget pliss 🥺, tapi pliss ya gojek kalau kasih driver jangan jauh2 pliss, aku jadi gak bisa sampai ke tujuan dalam keadaan gak telat, jadi pliss ya kasih driver jangan jauh2 ya, tapi makasih udah buat aplikasi ini ❤✨",5,2026-04-13 07:52:34,Gojek,positif
Pengguna Google,"oi gojek orderan reguler/instan jngn lu gabungin ke multi, banyak seler/pelanggan yg ngeluh karena ini, apalagi customer/penerima barang harusnya paling lambat 2 jam barang sampai, ini lebih dari 3 jam baru sampai, mau sampai kapan kaya gini",1,2026-04-13 07:44:52,Gojek,negatif
Pengguna Google,LAMA BGT NYARI PENGEMUDINYAA,1,2026-04-13 07:44:39,Gojek,negatif
Pengguna Google,aman,5,2026-04-13 07:33:08,Gojek,positif
Pengguna Google,👍,5,2026-04-13 07:32:44,Gojek,positif
Pengguna Google,percuma pake goplus tetep aja ga konsisten harganya,1,2026-04-13 07:06:55,Gojek,negatif
Pengguna Google,"Terima kasih GO-JEK dan seluruh penggunanya 🙏💚 Sangat membantu di saat keadaan mendesak. Semoga semua yang bekerja dan menggunakan aplikasi ini selalu diberi kelancaran, rezeki yang berkah, dan tetap semangat ya 😊😇✨",5,2026-04-13 07:03:26,Gojek,positif
Pengguna Google,oke banget,5,2026-04-13 06:58:23,Gojek,positif
Pengguna Google,sangatt terbantu dengan adanya apk ini,4,2026-04-13 06:57:10,Gojek,positif
Pengguna Google,keren,5,2026-04-13 06:33:33,Gojek,positif
Pengguna Google,"mantapp nieh gojek, saya sangat suka sekali dan saya juga pelanggan setia gojek 😍😍😍",5,2026-04-13 06:18:01,Gojek,positif
Pengguna Google,aman terpercaya,5,2026-04-13 06:15:34,Gojek,positif
Pengguna Google,baru aja downlod ko udah eror,3,2026-04-13 06:10:01,Gojek,netral
Pengguna Google,sulit banget yg mau jemput agak jauh dari kota .uninstal aja,5,2026-04-13 06:04:11,Gojek,positif
Pengguna Google,GoPay pinjam saya tiba2 cair sendiri tanpa persetujuan,1,2026-04-13 05:50:50,Gojek,negatif
Pengguna Google,good gojek,5,2026-04-13 05:44:19,Gojek,positif
Pengguna Google,mudah,5,2026-04-13 05:22:11,Gojek,positif
Pengguna Google,pelayanan ok,5,2026-04-13 05:17:32,Gojek,positif
Pengguna Google,bagus selalu tepat waktu,5,2026-04-13 05:09:43,Gojek,positif
Pengguna Google,Terpercaya dan ramah,5,2026-04-13 04:50:53,Gojek,positif
Pengguna Google,Gojek... mantap,5,2026-04-13 04:44:54,Gojek,positif
Pengguna Google,Mantap Sekali Gojek Indonesia Terbaik Memang Ok Di Click,5,2026-04-13 04:44:23,Gojek,positif
