username,review,rating,date,app,label,review_clean
Pengguna Google,"aplikasi nya nda bisa di buka, di suruh update,sdah di update minta login, dikasih masuk no tlpon, nd bisa, ada apa dengan aplikasinya",1,2026-04-12 09:41:58,Maxim,negatif,aplikasi nda buka suruh updatesdah update login kasih masuk no tlpon nd aplikasi
Pengguna Google,"kasian kali Para driver Gocar gojek, info nya Mereka dapat Dikit Untung ongkos dari uang penumpang bayar di aplikasi gojek. contoh aja, SAYA BAYAR PAKAI GOPAY pesan gocar dikenahkan 54.000 , dan si driver hanya dapat 30.000 kasian kali kan banyak kali potongan ongkos dilakukan PIHAK APLIKASI GOJEK merugikan driver. tolong lah bantu UP dan evaluasi potongan nya agar Nyama para driver, kasian melihat mereka bensin mobil + AC mobil lagi diberikan driver kepada kami penumpang agar nyaman.",1,2026-04-03 18:51:52,Gojek,negatif,kasi kali gocar info dikit untung ongkos uang tumpang bayar aplikasi contoh bayar pakai gopay pesan gocar dikenahkan si kasi kali kali potong ongkos aplikasi rugi tolong bantu up evaluasi potong nyama kasi bensin mobil ac mobil tumpang nyaman
Pengguna Google,susah dapet driver plss pdhl lg ungent bgt,1,2026-03-29 10:52:11,Gojek,negatif,sulit dapet plss pdhl ungent banget
Pengguna Google,cs layanan nya jelek ga member solusi,1,2026-03-30 19:02:12,Gojek,negatif,cs layan buruk member solusi
Pengguna Google,"Udah ke sekian kalinya saya memesan makanan udah nunggu beberapa menit tapi driver gak di temukan ini gimana !, pada kemana coba padahal perkota kan banyak",1,2026-03-31 10:23:14,Gojek,negatif,sekian kali mes makan nunggu menit temu gimana mana coba kota
Pengguna Google,kagak ada tuyul driver nya xim,1,2026-04-17 06:24:48,Maxim,negatif,kagak tuyul xim
Pengguna Google,"saat di butuhkan waktu pas pasan malah tidak bisa order tunai, mesti dengan kard",1,2026-04-22 21:12:55,Grab,negatif,butuh pas pas order tunai mesti kard
Pengguna Google,"tolol Driver nya pada kebanyakan milih"" gua pesen makanan sejam lebih pas udh wktu nya gada yg mau ambil,tolol bat",1,2026-04-02 14:33:18,Grab,negatif,tolol banyak milih gua sen makan jam pas wktu gada ambiltolol bat
Pengguna Google,"Makin hari driver makin slengean, mau ngirim gosend mobil mereka pada nerima orderan, tapi posisi ga pernah gerak, di chat ceklis 2 ga dijawab, payahhh pada sok semua",1,2026-04-11 03:04:37,Gojek,negatif,slengean ngirim gosend mobil nerima order posisi gerak chat ceklis payahhh sok
Pengguna Google,"aplikasi lelet,cs gak guna",1,2026-03-29 15:38:30,Gojek,negatif,aplikasi leletcs
Pengguna Google,"iklan sama realitanya kenapa berbeda ya? katanya gojek plus bikin makin murah dan hemat, tapi nyatanya tetap sama aja tuh gak ada perubahan signifikan untuk harganya, mana banyak banget lagi ketentuan yang harus dipenuhi sebelum pake promonya 🤦🏻‍♀️ kapok deh langganan gojek plus nya",2,2026-04-13 14:46:49,Gojek,negatif,iklan realitanya beda ya plus bikin murah hemat tuh ubah signifikan harga banget tentu penuh pake promonya  kapok langgan plus
Luthfiana Choirunnisa,"susah cari driver pas mendung ( ga ujan) padahal dikota besar,",1,2026-03-26 00:58:48,Gojek,negatif,sulit cari pas mendung ujan kota
Pengguna Google,tolong kasih pelanggaran buat driver yg gk mau konfir mau jemput atau nggk nya. saya sudah nunggu lama bukannya lokasi dia makin deket adanya malah makin jauh,1,2026-04-03 16:01:56,Grab,negatif,tolong kasih langgar konfir jemput nggk nunggu lokasi deket
Pengguna Google,ini banyak oknum driver didalam nya yg suka minta ongkos lebih dari ketentuan aplikasi terlebih banyak oknum driver suka malakin 20 ribu uang ongkos tambahan,1,2026-04-12 13:21:03,Maxim,negatif,oknum dalam suka ongkos tentu aplikasi oknum suka malakin ribu uang ongkos tambah
Pengguna Google,kesel bener setiap beli makanan lebih 2/3/4 porsi yg dateng pasti 1 doang mana bayar nya tetep lagi,1,2026-03-16 11:49:49,Grab,negatif,kesel bener beli makan porsi dateng bayar tetep
Pengguna Google,"akun bagus malah susah mendapatkan order, aneh",1,2026-04-19 19:02:30,Gojek,negatif,akun bagus sulit order aneh
Pengguna Google,selalu masalah selalu ketika hujan sulit dapat driver,1,2026-04-20 20:31:24,Grab,negatif,hujan sulit
Pengguna Google,"dituduh penyalahgunaan promo, kita ini tinggal beli dan pakai promo aja, tapi kalian semena mena bekuin akun orang. yang bikin tombol kan kalian, sesuai prosedur kalian, tapi kita yang disalahkan. ga bakal saya pakai aplikasi ini, padahal saya sering beli pakai gofood dan langganan gojek plus, tapi kalian gak tau terimakasih sama customer. pelayanan buruk, cs buruk.",1,2026-04-05 03:31:52,Gojek,negatif,tuduh penyalahgunaan promo tinggal beli pakai promo semena mena bekuin akun orang bikin tombol sesuai prosedur salah pakai aplikasi beli pakai gofood langgan plus tau terimakasih customer layan buruk cs buruk
Pengguna Google,l ga guna kalo lagi butuh pada ilang grab nya,1,2026-03-29 12:51:56,Grab,negatif,kalo butuh ilang
Azzahra Irma,"Kenapa driver pada ga mau ambil orderan sihh, udah 3x kyak gini, ga pada mau ambil orderan, padahal kan banyak drivernya, tpi ga ada mau ambil orderannya",1,2026-03-25 13:11:46,Gojek,negatif,ambil order sihh kyak gin ambil order drivernya tpi ambil order
Pengguna Google,"ga lagi lagi pake grab!!!! kapokkkkkk. order grabfood salah pilih menu, gabisa di cancel. chat driver malah balesannya jelek bgt!!! bikin kapok! pdhl saya sopan bgt chat drivernya",1,2026-03-18 05:52:30,Grab,negatif,pake kapokkkkkk order grabfood salah pilih menu gabisa cancel chat balesannya buruk banget bikin kapok pdhl sopan banget chat drivernya
Pengguna Google,platform besar tapi bikin malu.. pengemudi banyak yang aktif tapi gak mau ngambil penumpang diatas jam 12 malam,1,2026-03-28 18:07:50,Grab,negatif,platform bikin malu kemudi aktif ngambil tumpang atas jam malam
Pengguna Google,"driver lelet, seenaknya sendiri, lalu sistem bintang di costumer suka di main mainin driver biar drivernya itu itu terus karena tip",1,2026-03-29 23:20:58,Gojek,negatif,lambat sistem bintang costumer suka main mainin biar drivernya tip
Pengguna Google,Tagihan masih ada padahal sudah dilunasin. diminta bayar denda lagi,1,2026-04-02 12:46:58,Gojek,negatif,tagih dilunasin bayar denda
Pengguna Google,"makin lama makin banyak yg mogok kerja drivernya, parah.. ga ada yg mau narik ambil orderan pdhl genting bgt gada transportasi.. tolong pihak aplikasi kasih upah yg layak buat para mitranya biar pada semangat kerjanya. banyak org yg butuh!",1,2026-03-30 11:23:37,Grab,negatif,mogok kerja drivernya buruk narik ambil order pdhl genting banget gada transportasi tolong aplikasi kasih upah layak mitra biar semangat kerja org butuh
Pengguna Google,"lama, nyari driver juga susah",2,2026-03-30 08:45:49,Gojek,negatif,nyari sulit
Pengguna Google,"driver tidak bagus, ada yang tdk konfirmasi trus meninggalkan begitu saja, ada juga yang pindah ke chat buat transaksi di luar aplikasi, sangat tdk mengenakkan, lebih baik blacklist orang orang nya",2,2026-04-11 06:37:21,Gojek,negatif,bagus konfirmasi trus tinggal pindah chat transaksi aplikasi enak blacklist orang orang
Pengguna Google,"semalam pesan gojek comfort, harusnya gede kan motornya / luas., dilalah gw bawa bocah. buset dahh yg sampe trnyt motor macam Scoopy tapi inii motor batre swap. tolong diperbaiki , kalo sekiranya motor kecil, jgn ambil pesenan gojek comfort. keselamatan di pertaruhkan karena jok sempit bgt",1,2026-04-22 23:32:30,Gojek,negatif,malam pesan comfort gede motor luas dila bawa bocah buset dahh sampe trnyt motor scoopy ini motor batre swap tolong baik kalo motor jgn ambil sen comfort selamat taruh jok sempit banget
